Destinasi,Gambar,Detail,Jam Operasional,Biaya Masuk,Penginapan,Preferensi 1,Preferensi 2
Nest Sculpture,https://drive.google.com/drive/folders/18-DQNkfV4fNYcR7oKtns7T0QUNnHY0l4?usp=sharing,"Patung yang sangat indah terdiri dari lingkaran 48 tokoh seukuran manusia yang mengelilingi lebih banyak tokoh di dasar laut. Dirancang oleh Jason deCaires Taylor, potongan-potongan yang saling terkait terhubung untuk menyediakan platform bagi kehidupan laut untuk menjajah dan menghuni. Ketika karang terus terbentuk pada patung netral pH, semakin banyak kehidupan laut akan terbentuk.Diberikan kepada masyarakat setempat oleh BASK Gili Meno, terumbu buatan manusia ini terletak di perairan dangkal yang merupakan berenang singkat dari pantai. Hal ini dengan cepat menjadi nomor satu harus melihat daya tarik di Kepulauan Gili, dengan perusahaan perahu lokal menyediakan perjalanan reguler ke patung-patung dari pulau-pulau sekitarnya.",Setiap hari ( 09.00 - 17.00 WITA ),Rp 25.000 - Rp 50.000,"Mahamaya Gili Meno, Trawangan Dive Resort, Manta Dive Gili Trawangann Resort, dan Samba Villas.",['pasangan'],wisata kota
Taman Nasional Komodo,https://drive.google.com/drive/folders/1zd5wQNix4ELKRcFD7gdRK7yEqWegNEvf?usp=sharing,"Taman nasional ini terdiri atas tiga pulau besar Pulau Komodo, Pulau Rinca, dan Pulau Padar serta beberapa pulau kecil lainnya. Di taman nasional ini terdapat 277 spesies hewan yang merupakan perpaduan hewan yang berasal dari Asia dan Australia, yang terdiri dari 32 spesies mamalia, 128 spesies burung, dan 37 spesies reptilia. ",Setiap hari ( 24 jam ),Rp 5.000 - Rp 225.000,"Komodo Resort, Le Pirate Island, dan The Teuz Hotel.","['teman', 'keluarga', 'pasangan']",wisata kota
Pulau Kera,https://drive.google.com/drive/folders/19Lq_WlqFhljkffXdApZBXpopFaqf4a-h?usp=sharing,"Pulau Kera merupakan sebuah pulau yang berpasir putih di sepanjang pantainya. Daya tarik yang dimiliki pulau ini adalah pantainya yang eksotis, adanya nuansa kesegaran alam, dan paket wisata unik menarik. ",Setiap hari ( 24 jam ),Gratis,"OYO 1401 Hotel Maya, RedDoorz Plus @ Hotel Pantai Timor, Swiss-Belcourt Kupang, dan Kristal Hotel Kupang.","['teman', 'keluarga', 'pasangan']",pegunungan dan pedesaan
Air Terjun Tanggedu,https://drive.google.com/drive/folders/17xM_mmxxonV7zlq7YYZXHSsrFDhoND9L?usp=sharing,Air Terjun Tanggedu adalah sebuah air terjun yang terletak di Desa Tanggedu. Air terjun ini bisa dicapai dengan menggunakan kendaraan roda dua dan roda empat yang melintasi Desa Mondu dan Kampung Adat Prainatang. Air Terjun Tanggedu memiliki ciri khas berupa relief bebatuannya yang unik.,Setiap hari ( 24 jam ),Rp2.000,"Villa Amidala, Padadita Beach Hotel, RedDoorz @ Mt.Haryono Street Waingapu, dan SACCA RESIDENCE & RESTO.","['sendiri', 'teman']",pegunungan dan pedesaan
Gili Lawadarat ,https://drive.google.com/drive/folders/1u64A0LPqfRymY8sR7LRraHiXlBhZlBnJ?usp=sharing,Gili lawa darat merupakan salah satu destinasi trip sailing Flores yaitu berlayar dengan kapal live on board dan mengunjungi destinasi destinasi yang ada di Flores. Keistimewaan di gili lawa ini adalah kita dapat menemukan matahari terbenam dan matahari terbit. Merupakan bukit yang terdapat savana sehingga kita dapat menikmati suasana tenang dan indahnya gili lawa. Terdapat juga beberapa rusa yang hidup disana ditambah dengan view laut yang memanjakan mata,Setiap hari ( 24 jam ),Gratis,"Boat Charter KM, Rumah Perahu, Komodo Resort, dan XPirates Dive Capm","['teman', 'pasangan']",wisata air
Danau Kelimutu,https://drive.google.com/drive/folders/1NdtarbOVVDjjD29Td5kipvMr8mPbVmWW?usp=sharing,"Danau atau Tiwu Kelimutu di bagi atas tiga bagian yang sesuai dengan warna - warna yang ada di dalam danau. Danau berwarna biru atau ""Tiwu Nuwa Muri Koo Fai"" merupakan tempat berkumpulnya jiwa-jiwa muda-mudi yang telah meninggal. Danau yang berwarna merah atau ""Tiwu Ata Polo"" merupakan tempat berkumpulnya jiwa-jiwa orang yang telah meninggal dan selama ia hidup selalu melakukan kejahatan/tenung. Sedangkan danau berwarna putih atau ""Tiwu Ata Mbupu"" merupakan tempat berkumpulnya jiwa-jiwa orang tua yang telah meninggal.",Setiap hari ( 24 jam ),Rp5.000,"Sylvester Homestay, Estevania Lodge, Romantic Studio @ Eja Guest House, dan Affordable Room @ Eja Guest House.",['pasangan'],wisata air
Goa Rangko,https://drive.google.com/drive/folders/1OY26WJaOvd-uvecZivOdx01pBl1ow707?usp=sharing,"Gua Rangko Labuan Bajo adalah salah satu gua yang terletak di Nusa Tenggara Timur. Arsitektur karya alam yang begitu menakjubkan tentu akan membuat pengunjung betah untuk berlama-lama berada di sini. Selain itu, tempatnya yang masih belum banyak dikunjungi membuat suasana masih terasa alami dan tenang. ",-,Rp20.000,"Shakti Beach Hotel & Resort, Wae Watu Hotel & Resort, Mulia Homestay Labuan Bajo RedPartner, dan Rilo Homestay.","['sendiri', 'teman', 'keluarga', 'pasangan']",wisata air
Pulau Mangiatan,https://drive.google.com/drive/folders/18hLf_gaDr_qnKpL2HN_M5Ar7L4188JIC?usp=sharing,"Pulau Sembilan sebenarnya bernama Pulau Mangiatan. Penyebutan Pulau Sembilan karena bentuk pulau ini mirip dengan angka sembilan jika dilihat dari udara. Pulau Mangiatan merupakan salah satu spot yang sudah terkenal daya pikatnya. Gugusan karang berbentuk bulan sabit ini terletak di Pulau Mangiatan, Kepulauan Komodo. Di sana, kamu bakal dimanjakan oleh pemandangan Pulau Karang dan birunya laguna yang bikin berdecak kagum.",,,"Le Pirate Island, Mutiara Tidung Resort, Kanawa Island Resort, dan Komodo Resort.","['teman', 'keluarga']",wisata air
Air Terjun Cunca Wulang,https://drive.google.com/drive/folders/1uiPNsm3vDuRyvj62goakq8Fe75RLl4Gu?usp=sharing,"Air Terjun Cunca Wulang adalah air terjun yang bebatuan asalnya merupakan batuan kapur. Di sekitar air terjun terdapat bongkahan tebing yang di bawahnya adalah aliran air dari air terjun. Beberapa hal yang bisa dilakukan oleh para pengunjung diantaranya berenang di bagian kolam tepat terjunnya air, mendaki tebing, atau bahkan melompat dari tebing menuju air di bagian kolam alami. ",Setiap hari ( 06.00 - 17.00 WITA ),Rp100.000,"Sten Lodge Eco Homestay, Fifawind Hotel Komodo, Raffles Inn Labuan Bajo, dan Komodo Boat Trip.",['pasangan'],wisata air
Desa Tradisional Bena,https://drive.google.com/drive/folders/1zMFtq0sV2ET7YDA28PfKyxhZlCpPsCzz?usp=sharing,Desa Tradisional Bena Bajawa merupakan sebuah perkampungan megalitikum yang terletak di Desa Tiwuriwu.  Setiap rumah tersusun rapi dan saling mengelilingi membentuk huruf U dengan posisi di tengah-tengah merupakan tempat upacara adat digelar dan sebuah bangunan yang merupakan simbol leluhur diletakkan.,Setiap hari ( 08.00 - 17.00 WITA ),Rp20.000,"Bajawa Roo Hotel, Hotel New Bintang Bajawa, Kristian Homestay, dan Lucas Authentic Lodge & Restaurant.","['sendiri', 'teman', 'keluarga']",pegunungan dan pedesaan
Manta Point,https://drive.google.com/drive/folders/1rb0Fw92GYdFB4_wHIIyaEWnK3r923xm_?usp=sharing,"Manta Point merupakan wisata lautan lepas tempat para manta hidup. Pada bagian laut wilayah ini menarik perhatian dengan ikan mantanya, sementara pada bagian darat pemandangan dilengkapi dengan spesies kadal besar yaitu komodo. Fasilitas dan objek wisata disini antara lain Manta-sighting spot, Koloni ubur-ubur, Pemandangan bawah laut, snorkeling dan diving serta dapat berjumpa dengan komodo secara langsung.",Setiap hari ( 08.00 - 22.00 WITA ),Rp20.000,"Adiwana warnakali Resort, Mahaloka Valley, Hotel Arsa Santhi Nusa Penida, dan Blue Lagoon Avia Villas.","['sendiri', 'pasangan']",wisata air
Pulau Rinca,https://drive.google.com/drive/folders/1L0JPDP90JYteQ1ehnNfAKYCgpCqTCzeL?usp=sharing,"Pulau Rinca merupakan kawasan Taman Nasional Komodo yang dikelola oleh Pemerintah Pusat. Pulau Rinca berada di sebelah barat Pulau Flores, yang dipisahkan oleh Selat Molo. Di pulau ini hidup berbagai jenis binatang seperti komodo, babi liar, kerbau dan burung. Pulau Rinca dapat dicapai dengan perahu kecil dari Labuan Bajo di Flores barat.",Setiap hari ( 08.00 - 18.00 WITA ),Rp25.000,"Puri Sari Beach Hotel, Bintang Flores Hotel, Luwansa Beach Resort, dan Sudalama Resort.","['sendiri', 'pasangan']",wisata air
Danau Sanonggoang,https://drive.google.com/drive/folders/1RxOfb7xsk1zHg-Ps2hzMoLm2WoQRzaG9?usp=sharing,"Danau Sano Nggoang adalah danau vulkanik terluas di Nusa Tenggara Timur dengan luas 5.500 hektar. Danau ini memiliki daya tarik tersendiri yaitu kandungan sulfur yang relative tinggi. Karena itu, mandi untuk kesehatan kulit menjadi alasan utama berwisata ke danau ini. Pemandangan di sekitar Danau Sano Nggoang ini akan sangat menyejukan mata karena masih sangat alami. Selain itu, Danau Sano Nggoang juga menjadi habitat beberapa jenis burung termasuk burung endemic Flores yaitu Gagak Flores (Corvus florensis).",Setiap hari ( 08.00 - 17.00 WITA ),Rp20.000,"Sten Lodge eco Homestay, Surya Hotel, Shakti Beach Hotel & Resort, dan La Belle Etoile Hotel.","['sendiri', 'pasangan']",wisata air
Kampung Adat Praiyawang,https://drive.google.com/drive/folders/13uCT5U_WV3261ro67VtTPCGlsLvnv4jN?usp=sharing,"Kampung Adat Praiyawang merupakan desa adat yang masih memegang teguh kelestarian adat istiadatnya. ulai dari arsitektur rumah Sumba dengan menara yang tinggi, barisan kuburan tua megalitik para bangsawan dengan ciri khas pahatan simbol yang sarat akan makna. Selain kuburan batu tua, di kampung ini pengunjung dapat melihat rumah adat, barang-barang peninggalan nenek moyang seperti gong, tambur dan pakaian adat yang telah berumur ratusan tahun tetapi masih terawat dengan baik.",Setiap hari ( 24 jam ),Gratis,Eco Resort Sumba Dream dan Amu Dahi,"['sendiri', 'keluarga', 'pasangan']",pegunungan dan pedesaan
Kampung Adat Ratenggaro,https://drive.google.com/drive/folders/1W3vknHq8xX3BTvWIQp3MNb1FL4T0lri7?usp=sharing,"Desa Adat Ratenggaro adalah sebuah kampung adat yang paling populer di Tanah Sumba. Desa Adat Ratenggaro berada di pesisir Pantai Ratenggaro dan di ujung selatan Kabupaten Sumba Barat Daya. Desa Adat Ratenggaro membuat para pengunjung seperti kembali ke jaman megalithikum, karena masih terdapat kuburan batu tua di sekitar perkampungan.",Setiap hari ( 24 jam ),Gratis,"RedDoorz @Tambolaka Sumba, Hotel Pasola, Alamah Boutique Retreat Hotel & Villa, serta Mario Hotel & Cafe.","['sendiri', 'keluarga', 'pasangan']",pegunungan dan pedesaan
Rumah Budaya Sumba,https://drive.google.com/drive/folders/1QZ8HnLF7R0sJgEeoAqKMQMCY2p9fsUcu?usp=sharing,"Rumah Budaya Sumba adalah museum khusus yang digunakan untuk memperkenalkan sejarah dan budaya Sumba. Fungsi Rumah Budaya Sumba adalah sebagai museum sekaligus tempat wisata, penelitian, dan pertemuan, serta pusat pembelajaran kebudayaan Sumba. Rumah Budaya Sumba mengoleksi berbagai macam peninggalan kelompok etnik daerah Sumba yang berasal dari masa prasejarah hingga masa kini. Koleksi-koleksi ini merupakan sumbangan koleksi pribadi Pater Robert Ramone dan sumbangan dari setiap rumah adat Sumba. ",Setiap hari ( 24 jam ),Rp15.000,Hotel Pasola,['keluarga'],wisata kota
Benteng None,https://drive.google.com/drive/folders/1YK2xSGTETUYUtzqOGNh7ELzZyqqWuTCc?usp=sharing,"Benteng None atau benteng Raja Amanuban pada zaman kerajaan ratusan tahun silam ini sekitar satu kilo meter dari jalan trans Timor. Namun karena ruas jalan masuk tersebut masih berbentuk jalan tanah, sehingga bagi pengunjung yang ingin mengunjungi dan mendapatkan informasi mengenai sejarah benteng tersebut harus berhati-hati saat menggunakan kendaraan sepeda motor maupun mobil untuk masuk ke lokasi benteng yang hingga kini masih dijaga dan dipelihara oleh para panglima perang raja amanuban. Walau terkesan tak terabaikan oleh pemerintah daerah Kabupaten TTS saat ini, Benteng None ternyata sudah dikenal luas oleh masyarakat internasional. ",Setiap hari ( 06.00 - 17.00 WITA ),Rp5.000,"Puri Dewata Soe RedPartner, Dena Hotel, Lopo Mutis Homestay, dan Timor Megah Hotel",['teman'],situs bersejarah dan religi
Benteng Makes ( 7 Lapis),https://drive.google.com/drive/folders/1rlYcXzsaBbbmsBFJz6ScLILgRCinkuzP?usp=sharing,"Benteng Makes terletak di Puncak Bukit Desa Dirun, Kecamatan Lamanen, Kabupaten Belu. Benteng ini juga dikenal masyarakat lokal sebagai Benteng Lapis 7 atau Benteng Ranu Hitu karena memiliki tujuh lapis pintu masuk dan lorong-lorong jalan keluar melalui pintu belakang. Dulunya, benteng Makes ini adalah tempat pertahanan para pejuang lokal saat berperang melawan penjajah Portugis. Kini, benteng Makes digunakan warga sebagai tempat ritual untuk menghormati leluhur mereka.",Setiap hari ( 08.00 - 16.00 WITA ),Rp20.000,"Grand Royal Denai Hotel, Grand Rocky Hotel Bukittingi, Campago Resort Hotel, dan The Balcone Hotel",['teman'],situs bersejarah dan religi
Pulau Padar,https://drive.google.com/drive/folders/1GzfuYUiowa64ahvLagWeL5cpt3acDPnK?usp=sharing,"Pulau Padar adalah pulau ketiga terbesar di kawasan Taman Nasional Komodo, setelah Pulau Komodo dan Pulau Rinca. Padar memiliki iklim kering dengan semak-semak dan pepohonan padang rumput yang menutupi pulau, menciptakan kondisi bukit sabana yang indah. Pulau Padar Labuan bajo memiliki empat teluk yang dalam dan pasir pantai dalam berbagai warna, kebanyakan adalah pasir pantai berwarna putih. Selain itu pun ada pasir pantai memiliki pasir abu-abu dan merah muda. Laut di sekitar pulau ini memiliki beberapa tempat yang populer untuk scuba diving dan snorkeling.",Setiap hari ( 24 jam ),Rp5.000,BoatCharter KM. Caroline,"['teman', 'pasangan']",wisata air
Desa Wae Rebo,https://drive.google.com/drive/folders/1V2Y9qUUZScZ_CFbjtV_kwJoVuvz9iZSu?usp=sharing,"Wae Rebo adalah sebuah desa adat terpencil dan misterius di Kabupaten Manggarai. Di kampung ini hanya terdapat 7 rumah utama atau yang disebut sebagai Mbaru Niang. Desa Wae Rebo menwarkan wisata Budaya dan alam yang sangat asri dan unik. Letaknya yang cukup terpencil dan diatas ketinggian, menambah kesan keasriannya sehingga para wisatawan yang datang merasakan tinggal di negeri diatas awan.",Setiap hari ( 24 jam ),Rp325.000,"Puri Sari Beach Hotel, Bintang Flores Hotel, Luwansa Beach Resort, dan Sudamala Resort.","['teman', 'keluarga']",pegunungan dan pedesaan
Air Terjun Lapopu,https://drive.google.com/drive/folders/1XkVoeYKzX_PzGJuahVIeW7YJAJ39WsTc?usp=sharing,Air Terjun Lapopu merupakan sebuah air terjun yang berada di kawasan Taman Nasional Manupeu Tanah Daru. Air terjun ini memiliki ketinggian sekitar 90 meter dengan tipe berudak-undak. Air terjun Lapopu berada di tepi Sungai Wanokaka dan bersumber dari pecahan sungai Labariri yang muncul dari gua. Airnya jernih berwana hijau toska dan deras. Pemandangan alam yang indah dan alami membuat air terjun ini kerap dikunjungi wisatawan lokal dan mancanegara.,Setiap hari ( 24 jam ),Rp5.000,"Hotel Ronita, Hotel Artha Waikabubak, Hotel Menandang, dan Morika Inn.  ","['teman', 'keluarga', 'pasangan']",wisata air
Museum Tsunami,,"Museum ini hadir untuk menambah variasi pilihan tempat wisata di aceh yang sudah ada sebelumnya. Museum tsunami terletak di Jalan Sultan Iskandar Muda dekat Simpang Jam dan berseberangan dengan Lapangan Blang Padang kota Banda Aceh dan di resmikan pada bulan februari tahun 2008. Tujuan dibangunnya museum ini adalah untuk mengenang gempa bumi yang mengakibatkan tsunami tahun 2004, selain itu  juga menjadi pusat pendidikan dan sebagai pusat evakuasi jika bencana tsunami sewaktu-waktu datang lagi.",Setiap Hari kecuali Jum'at (09.00 – 16.30 WIB),Gratis,,,situs bersejarah dan religi
Pantai Iboih,,"Pantai Iboih merupakan pelabuhan yang digunakan untuk menuju ke Pulau Rubiah. Meskipun sebuah pelabuhan, namun keindahan Pantai Iboih tidak diragukan lagi. Air lautnya yang jernih dan memiliki warna gradasi hijau biru ditambah hamparan pasir putihnya yang bersih dan dikelilingi oleh hutan lindung, Iboih bagaikan “surga” tersembunyi yang memiliki nuansa tenang dan damai. Kegiatan yang dapat dilakukan di Pantai Iboih Aceh yaitu menyelam dan snorkeling, karena pantai ini memiliki gelombang laut yang tenang. Para wisatawan dapat menikmati keanekaragaman bawah laut dengan berbagai macam spesies ikan dan terumbu karang. Selain itu, Anda juga dapat menikmati keindahan gunung berapi yang berada di bawah permukaan laut. Bagi wisatawan yang ingin merasakan sensasi melihat keindahan bawah laut dan tidak membawa perlengkapan snorkeling, Anda tidak perlu khawatir, karena terdapat persewaan peralatan snorkeling maupun menyelam.",Setiap Hari (24 Jam),Gratis,,,wisata air
Masjid Baiturrahman,,"Masjid Raya Baiturrahman, Banda Aceh salah satu destinasi wisata religi favorit wisatawan di Kota Banda Aceh. Masjid bersejarah ini bukan hanya ikon Serambi Mekkah, tapi juga simbol perjuangan dan penyebaran Islam di Indonesia hingga semenjung Asia Tenggara. Masjid dibangun sejak abad 17 ini selama ini ramai dikunjungi wisatawan baik dalam maupun luar negeri. Terutama dari Malaysia. Bagi warga negeri Jiran yang berkunjung ke Aceh, mereka serasa wajib datang dulu ke Masjid Baiturrahman.",Setiap Hari (04.30 - 22.00 WIB),Gratis,,,situs bersejarah dan religi
Air Terjun Blang Kolam,,"Air Terjun Blang Kolam diperkirakan memiliki ketinggian mencapai 75 meter, sehingga terciptalah gemuruh suara air yang jatuh mengenai bebatuan sungai. Uniknya, terdapat dua aliran air terjun yang saling berdampingan. Kondisi tersebut juga seolah mempercantik air terjun yang berada di Aceh Utara ini. Bak surga yang tersembunyi, air terjun ini dikelilingi oleh tebing-tebing tinggi serta dipenuhi dengan tananaman hijau yang tumbuh subur. Bebatuan besar juga akan dijumpai wisatawan disekitar air terjun, menjadi hiasan alami yang menambah keeksotisan air terjun ini. Hutan yang masih asri dan lestari, serta kicauan burung yang bersahutan menciptakan suasana damai dan tentram.",Setiap Hari (08.00 - 18.00 WIB),Rp 5.000 - Rp 10.000,,,wisata air
Danau Laut Tawar,,"Danau Laut Tawar sebuah danau alami di Dataran Tinggi Gayo, Kabupaten Aceh Tengah. Warga setempat lebih sering menyebutnya ‘Danau Lut Tawar’. Luasnya yang mencapai lebih dari 5.000 hektare memang membuatnya tampak seperti laut. Danau ini populer sebagai kawasan wisata alam. Kondisinya yang berada di dataran tinggi membuatnya berselimut udara sejuk. Danau cantik ini juga dikelilingi pegunungan dan perbukitan yang indah. Banyak wisatawan dari sekitar Aceh yang menjadikannya tujuan rekreasi untuk melepas penat di akhir pekan.",Setiap Hari (24 Jam),Rp 0 - Rp 5.000,,,wisata air
Pantai Lhoknga,,"Pantai Lhoknga merupakan satu dari sekian banyak wisata Aceh, khususnya pesona laut dan pantai  yang sangat terkenal dengan pesona keindahannya. Ciri khas dari Pantai Lhoknga karena pesona keindahan alam yang dimilikinya sangat indah, serta memiliki ombak  yang dianggap bersahabat bagi destinasi wisata keluarga. Pantai Lhoknga memang telah dikenal memiliki salah satu spot surfing terbaik di Aceh. Tak hanya di Indonesia, pantai ini juga telah mendapat pengakuan dunia Internasional akan gelombang ombaknya. Dengan tiga level ombak yang berbeda, pantai ini sangat cocok bagi para penggemar olahraga pemacu adrenalin seperti surfing.",Setiap Hari (07.00- 17.00 WIB),Rp.15.000,,,wisata air
Rumah Cut Nyak Dhien,,"Museum Rumah Cut Nyak Dhien merupakan museum yang akan mengingatkan sejenak dengan pahlawan wanita berhati baja ini. Srikandi Indonesia ini memang dikenal memiliki pendirian yang teguh serta gagah berani dalam memimpin pasukan untuk melawan Belanda. Di museum tersebut, wisatawan bisa melihat senjata-senjata seperti rencong yang dulu digunakan oleh beliau.","Setiap Hari (08.30 - 12.30 WIB)
Setiap Hari (14..00 - 17.00 WIB)",Gratis,,,situs bersejarah dan religi
