Destinasi,Detail,Preferensi 2
Puntok Geneng Poncol,Tempat wisata populer di kabupaten Magetan ini adalah sebuah tempat wisata yang indah dengan panorama perbukitan dan lereng gunung yang hijau dan asri. Tempat wisata yang berada di desa Ngaglik Poncol Magetan ini memang cocok banget bagi kamu yang suka berselfie ria.,pegunungan dan pedesaan
Wisata Bahari Lamongan,"Tempat wisata yang menjadi ikon wisata di kota Lamongan ini menjadi tempat yang sayang sekali jika kamu lewatkan, tidak hanya menyuguhkan akan keindahan kota lamongan saja melainkan di tempat wisata WBL ini wisatawan juga akan di suguhkan dengan wisata baharinya yang sangat menakjubkan.",wisata air
Taman Harmoni Keputih,"Taman Harmoni Keputih merupakan sebuah taman cantik yang punya segudang koleksi bunga warna-warni. Di taman ini terdapat pemandangan berbagai macam jenis bunga, seperti bunga matahari, bunga mawar, bunga sepatu, dan masih banyak lagi. ",wisata kota
Air Terjun Nglirip,"Air Terjun yang berada di desa Mulyoagung, Singgahan, Kabupaten Tuban ini merupakan sebuah tempat wisata alam di Jawa Timur yang cukup populer di kalangan para traveler, air terjun yang indah dengan pesona alam sekitarnya yang masih sangat terjaga ini menjadi tempat yang cocok banget untuk di jadikan tujuan wisata liburan kamu.",pegunungan dan pedesaan
Puncak Rengganis Gunung Argopuro,"Gunung Argopuro tentu sudah menjadi gunung yang di kenal banyak wisatawan karena pemandangannya yang begitu mempesona, gunung setinggi 2.088 mdpl ini memiliki puncak tertinggi yaitu Rengganis, dimana dari puncak rengganis ini kamu akan di suguhkan dengan pesona alam situbondo yang begitu menawan.",pegunungan dan pedesaan
Museum Mpu Tantular,"Museum Negeri Mpu Tantular adalah sebuah museum negeri yang berlokasi di Sidoarjo, Jawa Timur. Cikal bakal berdirinya Museum Negeri Mpu Tantular adalah didirikannya lembaga kebudayaan Stedelijk Historisch Museum Soerabaia oleh Godfried Hariowald von Faber. Tata ruangan museum ini mempunyai suatu ruangan koleksi, perpustakaan, ruang kantor, auditorium. ",situs bersejarah dan religi
Museum Bahari Jakarta,"Museum Bahari Jakarta adalah museum yang menyimpan koleksi yang berhubungan dengan kebaharian dan kenelayanan bangsa Indonesia dari Sabang hingga Merauke. Koleksi-koleksi yang disimpan terdiri atas berbagai jenis perahu tradisional dengan aneka bentuk, gaya dan ragam hias, hingga kapal zaman VOC. Selain itu ada pula berbagai model dan miniatur kapal modern dan perlengkapan penunjang kegiatan pelayaran. Juga peralatan yang digunakan oleh pelaut pada masa lalu seperti alat navigasi, jangkar, teropong, model mercusuar dan meriam.",situs bersejarah dan religi
Museum Satria Mandala,"Museum Satria Mandala adalah sebuah museum yang menyimpan sejarah perjuangan bangsa, khususnya Tentara Nasional Indonesia (TNI), dalam mempertahankan dan mengisi kemerdekaan. erdapat 74 diorama yang menggambarkan peran TNI sejak 1945. Beberapa diorama yang dipamerkan di museum antara lain gambaran Pertempuran Surabaya pada 10 November 1945 hingga penumpasan DI/TII di Jawa Barat Jawa Tengah, Aceh, Kalimantan Selatan, dan Sulawesi pada tahun 60-an. Museum ini juga menyimpan benda-benda bersejarah milik TNI, seperti senjata berat dan ringan, atribut ketentaraan, panji-panji, dan lambang-lambang di lingkungan TNI. Koleksi tersebut ditempatkan di ruang khusus. Selain itu, ada juga kendaraan perang seperti tank dan panser, dan berbagai jenis pesawat terbang hingga meriam yang dapat dilihat di pameran taman.",situs bersejarah dan religi
Museum Wayang,"Museum Wayang adalah sebuah museum yang berlokasi di Jalan Pintu Besar Utara, Jakarta Barat. Museum Wayang memamerkan berbagai jenis dan bentuk wayang dari seluruh Indonesia, baik yang terbuat dari kayu dan kulit maupun bahan-bahan lain. Wayang-wayang dari luar negeri ada juga di sini, misalnya dari Republik Rakyat Tiongkok dan Kamboja. Hingga kini Museum Wayang mengkoleksi lebih dari 4.000 buah wayang, terdiri atas wayang kulit, wayang golek, wayang kardus, wayang rumput, wayang janur, topeng, boneka, wayang beber dan gamelan. ",situs bersejarah dan religi
Alive Museum Ancol,"Alive Museum Ancol merupakan cabang dari Alive Museum Korea yang sebelumnya sudah ada di beberapa negara lainnya seperti Korea, Singapura, Thailand, Vietnam, Cina dan Istambul. Alive Museum Ancol menawarkan karya seni lukis dan teknologi digital dalam bentuk 3D. Pengunjung dapat merasakan sensasi dari semua indra melalui tampilan ilusi optik dan media seni yang dibangun dengan menggabungkan berbagai kegiatan interaksi yang mampu membuat pengunjung merasakan langsung pengalaman spesial yang unik.",situs bersejarah dan religi
Kota Tua,"Kota Tua Jakarta, juga dikenal dengan sebutan Batavia Lama (Oud Batavia), adalah sebuah wilayah kecil di Jakarta, Indonesia. Dijuluki ""Permata Asia"" dan ""Ratu dari Timur"" pada abad ke-16 oleh pelayar Eropa, Jakarta Lama dianggap sebagai pusat perdagangan untuk benua Asia karena lokasinya yang strategis dan sumber daya melimpah. Fasilitas yang disediakan antara lain area pakir wisata, taman bermain, sewa sepeda, museum, toilet, mushola, foodcourt, dan spot Foto instagenic.",situs bersejarah dan religi
Galeri Nasional Indonesia,"Galeri Nasional Indonesia adalah sebuah lembaga budaya negara atau sebagai museum seni rupa modern dan kontemporer. Di sini terdapat gedung yang berfungsi antara lain sebagai tempat pameran, dan perhelatan seni rupa Indonesia dan mancanegara. Fungsi Galeri Nasional Indonesia adalah melaksanakan pengkajian, pengumpulan, registrasi, perawatan, pengamanan, pameran, kemitraan, layanan edukasi dan publikasi karya seni rupa.",situs bersejarah dan religi
Taman Impian Jaya Ancol,"Ancol Taman Impian atau biasa disebut Ancol sudah ditujukan sebagai sebuah kawasan wisata terpadu oleh Pemerintah Provinsi DKI Jakarta. Objek wisata di Ancol antara lain pantai dan taman, Dunia Fantasi ( Dufan ), Atlantis Water Adventure ( Atlantis ), Ocean Dream Samudra ( Samudra ), Sea World, Putri Duyung Cottages, Marina, Pasar Seni, Kereta Gantung ( Gondola ), Wisata Kuliner dan masih banyak lagi.",wisata kota
Pulau Pari,"Pulau Pari adalah sebuah pulau indah nan eksotis yang bisa dicapai hanya dengan perjalanan 90-120 menit dari Ibu Kota Jakarta. Pulau Pari menawarkan sejumlah spot wisata yang ideal seperti Pantai Pasir Perawan, Pantai Bintang, Pantai Kresek, dan Pantai Tanjung Rengge. Selain itu, terdapat beberapa aktivitas yang dapat dilakukan seperti jelajah Hutan Mangrove, menikmati Sunrise di Bukit Matahari, dan Island Hopping. Fasilitas yang disediakan antara lain sarana akomodasi, toko penyedia  jajanan, warung makan, tempat penyewaan peralatan seperti alat snorkeling dan sepeda, serta agen wisata lokal. ",wisata air
Pulau Pramuka,"Pulau Pramuka merupakan salah satu pulau sekaligus ibu kota kabupaten yang berada dalam gugusan Kepulauan Seribu. Tata tempat tinggal dan sanitasi di Pulau Pramuka cukup baik. Sarana dan prasarana cukup memadai, mulai dari masjid, rumah sakit, kantor pos, sekolah, dermaga, TPI (Tempat Pelelangan Ikan), villa dan penginapan bagi pengunjung wisata. Di pulau ini terdapat sarana pelestarian penyu sisik (Eretmochelys imbricata) yang saat ini jumlahnya sudah sedikit sehingga dilindungi. Selain itu terdapat pula penanaman bakau sebagai upaya perbaikan pertahanan pantai.",wisata air
Taman Mini Indonesia Indah (TMII),"Taman Mini Indonesia Indah (TMII) merupakan suatu kawasan taman wisata bertema budaya Indonesia di Jakarta Timur. Taman ini merupakan rangkuman kebudayaan bangsa Indonesia, yang mencakup berbagai aspek kehidupan sehari-hari masyarakat 26 provinsi Indonesia (pada tahun 1975) yang ditampilkan dalam anjungan daerah berarsitektur tradisional, serta menampilkan aneka busana, tarian, dan tradisi daerah. Di samping itu, di tengah-tengah TMII terdapat sebuah danau yang menggambarkan miniatur kepulauan Indonesia di tengahnya, kereta gantung, berbagai museum, dan Teater IMAX Keong Mas dan Teater Tanah Airku), berbagai sarana rekreasi ini menjadikan TMIII sebagai salah satu kawasan wisata terkemuka di ibu kota.",wisata kota
Museum Tekstil,"Museum Tekstil merupakan lembaga edukasi yang bentuk museum. Salah satu fungsi dari museum tekstil jakarta ini adalah tetap fokus untuk melestarikan tekstil tradisional di Indonesia. Di museum ini kerap diadakan pameran tekstil, seminan, workshop, penelitian dan publikasi.",situs bersejarah dan religi
Museum Taman Prasasti,"Museum Taman Prasasti adalah sebuah museum cagar budaya peninggalan masa kolonial Belanda. Museum ini memiliki koleksi prasasti nisan kuno serta miniatur makam khas dari 27 provinsi di Indonesia, beserta koleksi kereta jenazah antik. Museum ini merupakan museum terbuka yang menampilkan karya seni dari masa lampau tentang kecanggihan para pematung, pemahat, kaligrafer dan sastrawan yang menyatu.",situs bersejarah dan religi
Museum Joang 45,"Gedung Joang '45 atau Museum Joang 45 adalah salah satu museum yang berada di Jakarta.  Di museum ini dapat dilihat jejak perjuangan kemerdekaan RI dengan koleksi benda-benda peninggalan para pejuang Indonesia. Di antaranya adalah mobil dinas resmi Presiden dan Wakil Presiden RI Pertama yang dikenal dengan mobil REP 1 dan REP 2, dan Mobil Peristiwa Pemboman di Cikini. Selain itu ada pula koleksi foto-foto dokumentasi, lukisan dan diorama yang menggambarkan perjuangan sekitar tahun 1945-1950-an. Beberapa tokoh perjuangan ditampilkan pula dalam bentuk patung-patung dada.",situs bersejarah dan religi
Museum Sumpah Pemuda,"Museum Sumpah Pemuda adalah sebuah museum sejarah perjuangan kemerdekaan Republik Indonesia. Museum ini memiliki koleksi foto dan benda-benda yang berhubungan dengan sejarah Sumpah Pemuda 1928, serta kegiatan-kegiatan dalam pergerakan nasional kepemudaan Indonesia. Museum Sumpah Pemuda ini didirikan berdasarkan SK Gubernur DKI Jakarta pada tahun 1972 dan menjadi benda cagar budaya nasional. ",situs bersejarah dan religi
Klenteng Jin De Yuan,"Kelenteng Jin De Yuan merupakan salah satu kelenteng tertua di Jakarta, yang didirikan pada tahun 1650 di sebelah barat daya kota. Kelenteng ini dikenal juga sebagai Vihara Darma Bakti atau Kelenteng Kebajikan Emas. Di kelenteng ini terdapat artefak peninggalan sejarah yang sangat berharga, seluruh bangunan kelenteng Jin De Yuan didominasi oleh warna merah dan emas di semua sisinya serta terdapat juga sepasang singa atau Bao Gu Shi yang dianggap sebagi penunggu kelenteng berasal dari Provinsi Kwangtung, Tiongkok Selatan. Di pintu umata dari kelenteng ini terdapat arca Giok Hong Siong atau Dewa Pertama Alam Langit sebagai penyambut bagi masyarakat yang ingin beribadah.",situs bersejarah dan religi
Taman Menteng,"Taman Menteng adalah sebuah taman yang berlokasi di kawasan Menteng. Taman ini memiliki koleksi 30 spesies tanaman yang berbeda. Taman Menteng juga memiliki beragam fasilitas pendukung seperti taman bermain untuk anak-anak serta lapangan futsal dan basket. Uniknya, di taman ini terdapat pula 44 sumur resapan untuk membantu penyerapan air hujan ke dalam tanah.",wisata kota
Pantai Anyer,"Pantai Anyer merupakan wisata pantai yang terletak di Ujung Barat Kabupaten Serang Provinsi Banten. Ombak disini cukup tenang. Pengunjung bisa berenang, diving, snorkeling, naik speedboat, parasailing, membuat patung pasir, jetski, banana boat, atau mengeksplorasi alam di sekitar pantai.",wisata air
Pantai Tanjung Lesung,"Pantai Tanjung Lesung terletak di Pandeglang Banten.  Semenanjung yang menghadap Provinsi Lampung di Pulau Sumatera, berbatasan dengan Teluk Lada dan berhadapan langsung dengan Selat Sunda dan Gunung Krakatau. Pantai Tanjung Lesung Banten bersih dan alami dengan latar Gunung Krakatau yang terkenal. Kawasan wisatanya sangat luas, sekitar 1500 ha dengan garis pantai yang panjang. Suasana alami benar-benar terasa dengan hutan yang menghijau serta alam pedesaan yang menenangkan.",wisata air
Wisata Kampung Marengo Baduy Luar,Kampung Wisata Suku Baduy terletak di Desa Cibeo Kabupaten Lebak. Sekitar 40 Km dari Rangkasbitung. Wilayah Kampung Baduy dalam terasa lebih sepi dan banyak jalan setapak yang naik turun. Di wilayah ini akan disuguhkan pemandangan indah dari perbukitan yang masih hijau terjaga. Wisata ke Kampung Suku Baduy ini sangat cocok untuk anda yang menginginkan wisata alam dan budaya suku pedalaman.,pegunungan dan pedesaan
Pantai Sawarna,"Pantai Sawarna adalah pantai yang berada di desa Sawarna, Banten. Desa ini memiliki daya tarik karena banyak aneka ragam wisata. Desa Sawarna kaya akan pemandangan alam yang indah yang meliputi pegunungan, goa-goa, sungai, dan pantai dengan pasir putihnya. Kawasan Pantai Sawarna dimulai dari Pantai Pulo Manuk Sampai Pantai Karang Taraje. Aktivitas yang dapat dilakukan disini antara lain surfing, renang, berkunjung ke desa Wisata, tracking ke goa dan pantai serta menginap.",wisata air
Pulau Umang,"Pulau Umang merupakan sebuah pulau resort yang dilengkapi dengan cottage yang nyaman. Fasilitas yang disediakan antara lain kolam renang, pemijatan tradisional, ruang karaoke, tv satelit, kapal untuk memancing, ruang meeting, dan masih banyak lagi.",wisata air
Pulau Dua,"Cagar alam pulau dua atau pulau burung secara administratif berada di desa Sawah Luhur kecamatan Kasemen Serang provinsi Banten. Obyek wisata disini memiliki daya tarik yang unik dibandingkan dengan obyek wisata lainnya. Keunikan itu tidaklah lain dan tidaklah bukan keindahan alam bawah lautnya yang mempesona. Gugusan karang yang indah, berbagai macam jenis ikan laut, serta berbagai jenis burung yang ada di pulau ini. ",wisata air
Pulau Sangiang,"Sangiang adalah sebuah pulau kecil yang terletak di Selat Sunda, yakni antara Jawa dan Sumatra. Pulau Sangiang memiliki 3 tipe ekosistem hutan yaitu ekosistem hutan dataran rendah, ekosistem hutan pantai dan ekosistem hutan payau. Beberapa jenis flora di kawasan ini, antara lain cemara laut (Casuarina equisetifolia), bayur (Pterospermum javanicum), ketapang (Terminalia catappa), nyamplung (Callophyllum inophylum), waru laut (Hisbiscus tiliaceus), walikukun (Scoutenia ovata), bakau (Rhizophora stylosa), dan cantigi (Phempis acidula). Sedangkan jenis satwa yang ditemukan di dalam kawasan ini sangat beragam jenisnya dengan populasi yang relatif baik dan sebagian telah dilindungi undang-undang. ",wisata air
Taman Nasional Ujung Kulon,"Taman Nasional Ujung Kulon terletak di bagian paling barat Pulau Jawa, Indonesia. Kawasan taman nasional ini pada mulanya meliputi wilayah Krakatau dan beberapa pulau kecil di sekitarnya seperti Pulau Handeuleum dan Pulau Peucang dan Pulau Panaitan. Kawasan Taman Nasional Ujung Kulon memiliki tiga tipe ekosistem yaitu: 
1. Ekosistem daratan/teresterial, terdiri dari hutan hujan tropika dataran rendah yang terdapat di wilayah Gunung Honje, Semenanjung Ujung Kulon, Pulau Peucang dan Pulau Panaitan. 
2. Ekosistem perairan laut terdiri dari terumbu karang dan padang lamun yang terdapat di wilayah perairan Semenanjung Ujung Kulon, Pulau Handeuleum, Pulau Peucang dan Pulau Panaitan.
3. Ekosistem pesisir pantai terdiri dari hutan pantai yang terdapat di sepanjang pesisir pantai dan hutan mangrove di bagian timur laut Semenanjung Ujung Kulon.",wisata kota
Wisata Keramat Solear,"Keramat Solear yang merupakan hutan lindung seluas 4,5 hektar di Cisoka, Kabupaten Tangerang sekitar 16 kilometer dari Tigaraksa yang dikenal sebagai kawasan wisata yang dihuni ratusan hewan kera.  Di lokasi ini terdapat makam pengikut para wali, salah satunya makam Syekh Mas Masaad bin Hawa.",wisata kota
Curug Putri Carita (Little Green Canyon Banten),"Curug Putri Carita atau Curug Putri terletak di lereng Gunung Pulosari, Banten. Curug ini sebenarnya tidak terlalu tinggi, hanya sekitar 3 meter namun tebing yang eksotis menjadi nilai plus bagi wisatawan yang datang ke sana. Panjang aliran sungainya sendiri sekitar 50 meter. Fasilitas yang menunjang wisata Curug Putri juga terbilang lengkap. Di sana terdapat kamar mandi, warung makan, tempat outbond hingga camp.",pegunungan dan pedesaan
Bukit Batu Gambir,"Bukit Batu Gambir di Pulomerak Cilegon Banten adalah salah satu tempat wisata yang berada di Desa Tamansari. Objek Wisata Batu Gambir di Pulomerak Cilegon Banten bisa dibilang sebuah wisata alam yang memiliki beberapa fasilitas minim di antaranya area parkir kendaraan, kamar mandi, tempat Istirahat, dan masih ada lainya.",pegunungan dan pedesaan
Benteng Speelwijk,"Benteng Speelwijk adalah benteng peninggalan Belanda yang terletak di Kampung Pamarican. Bangunan benteng ini berdenah persegi panjang dan dikelilingi dengan tembok pertahanan setinggi tiga meter, di mana setiap sudutnya terdapat bastion atau ruang jaga. Pada bagian luar benteng terdapat parit yang berfungsi untuk mempersulit musuh yang hendak masuk ataupun menyerang. Sedangkan di dalam Benteng Speelwijk dapat ditemukan rumah komandan, gereja, ruang penyimpanan senjata dan mesiu, kantor administrasi, dan kamar dagang. ",situs bersejarah dan religi
